"geneID","HS1","HS2","HS3","HS4","HS5","HS6","HS7","CL1","CL2","CL3","CL4","CL5","CL6","CL7","CL8","CL9","CL10","CL11","CL12","CL13","CL14","CL15","CL16","CL17","CL18","CL19","CL20","CL21"
"CD2",-0.134633769184696,1.15712623541951,0.095732816256353,0.0735902249903492,0.664510585058603,2.56883432604315,1.1090329312561,6.55843227396532,6.47621536282008,5.97803938624311,7.295319327273,6.32808890373024,6.24870144744254,5.11640032001508,6.22132077257891,6.46357302449623,6.08761304768364,6.86619505863687,7.00457350444223,6.00739458027607,6.15287569123493,6.12463229770295,6.53486549444232,5.79511684604493,6.63419898259812,6.23204047285323,5.33835345443663,4.40604481975343
"KIF21B",1.4600112849338,1.60058605517744,1.84937715156919,1.2959826463268,0.954017202253588,2.24853731673472,1.25183353165513,5.93674506370479,6.77884534952848,5.39790676219023,5.52179593940287,5.46132364088787,5.50872328889248,3.66092372169145,4.53799886827896,5.53021231013426,5.24215191247846,5.4088028295554,5.55416141500608,4.80013273095312,5.1494853767874,5.85672535459882,4.96440136903294,4.8724833893161,5.91194444796001,5.97396208371353,4.00243847172587,3.15347874542451
"KMO",0.375560963134488,0.121751905317625,0.552111110916096,0.00800188336277259,0.301940505673895,0.847020957109493,0.519894754563755,3.90193970437383,4.21497818390203,3.29094930234016,5.26538525543972,4.15593266873953,3.78835596512513,3.30986456806043,3.98911495390641,4.15085642205621,4.22542898093169,5.17413640842326,4.46711187268297,5.0555600120468,4.964943756034,3.71708200053599,4.97429983009918,2.66408424005915,3.55101705398884,4.25693090184753,3.7302809280169,1.51209081124054
"SLAMF1",-2.12013419948958,-0.447943838750221,-1.13413472564224,-1.17033535789574,-0.920451915662553,1.28872640685042,-0.653169954409125,5.21637126562673,4.77122477912254,4.11008780507839,5.12452271959987,4.9546489337798,4.43526112695146,3.42372400199367,3.94114560898332,4.34742601666018,4.23500866447583,4.54537343109615,4.57179009192575,4.40697403958616,4.74958403081898,4.6681253116341,4.64309392162381,3.43626610702163,5.44994069599847,4.91880951460587,3.76643235362483,2.27350944913128
"CD48",0.201793895397782,2.17941724602888,1.03287279241778,1.2959826463268,2.35256657874386,2.76772190943411,1.02313285785046,6.42704293467659,6.31869616029838,6.22032824907761,7.30375906768567,6.34073476368366,6.30663610218697,4.98853349161357,6.59323962639071,6.55860843582076,6.41539836425686,7.14740131248306,7.3352095390028,6.73190696771991,6.83379106443645,6.21612418194474,6.85203209678476,5.60025981202765,6.34530198169781,6.42704178166939,5.61830081907687,4.34735847901855
"PLA2G2D",-2.51606287582072,-2.1598184519536,-1.87110031980845,-5.41826287133933,-0.183486321496346,-1.18932088995423,-2.86616367774332,-0.244217131135529,0.390091094836453,0.378922446197226,2.68346963027743,2.42362845194318,1.26079577544889,1.90434984290009,2.86365108819887,3.99835421252215,1.74518308186762,1.26635139552578,1.6699392252057,2.37311622764255,0.0757681393028294,1.00739530329497,2.90094808835192,2.19930456373167,1.449680867985,0.832755899392747,-0.537754158875262,-0.467502978097627
"GBP3",4.14815046703142,4.63728399811681,3.92292163663044,4.35487633538037,1.74251309705988,3.92643940311479,3.72016436500206,6.1511279843408,6.44410256251027,6.67652752231346,6.23403784319801,7.17416279752264,6.29606610129446,6.41597767266282,6.75891479717655,6.82554030650133,6.67354459832672,7.52141291198709,7.16179232153538,6.68709301743004,6.92714172332161,6.76236551694139,6.48108365482338,6.36623686435681,6.5929133556873,6.71336827062231,7.06298473259919,5.6531863216535
"GBP1",4.41280608888329,5.18707732052282,4.08097904956633,4.51690217826437,4.75197342630894,5.29433039326266,4.72084665162669,9.88659566478994,10.3354690207199,11.004041224552,10.6842065785327,10.4516584839598,10.7418317880287,9.59097323106196,9.78158357160381,9.93043667801221,9.60434257013072,11.2793916086819,10.9533695520779,10.5117991923424,10.9679376713925,10.6175230851524,10.9247352008956,10.3280292107903,10.8693253961587,10.7200650105742,10.5227766609357,7.48204506979233
"FASLG",-3.9566354672067,-2.2629119449177,-2.52317701638814,-1.51137227573081,-0.183486321496346,-0.695506277291266,-1.93327787360186,4.72305999458444,4.89545563134489,4.06282679661202,4.51411520232125,3.49949947941566,4.46664966976789,2.12891010091925,2.80120123441807,3.64997701731239,3.35846933973262,4.31500934120348,4.73237979998161,3.22316460278475,3.32742515514447,3.95335546358208,3.32227346213894,2.75405697082272,4.28060013654952,3.79715069668598,2.59610158785953,0.474616105821873
"SLC5A9",1.67480146331396,1.15712623541951,0.885405460753404,0.464380178022516,1.40147617922481,0.996869165850869,1.68002925281326,-3.48368306583092,-1.3599306521552,-2.59169374702168,-2.88334552373347,-2.09993350411383,-1.31397095816638,0.0163182745428896,-0.716494396224508,-0.688284988669043,-0.443636231327161,-2.2339139406201,-2.97391696456902,-1.23200246932174,-1.55728864961937,-2.19871203445398,-1.89606488948423,-0.143270681998453,-1.43452213291563,-2.12593712645034,-1.17162626007736,-0.533845472926323
